Espécie;Apreendidas;Data apreensão;Mês;Ano;UF Apreensão;Unidade Apreensão;Município;País de origem;Tipo Penal
Espingarda;1;41275;jan;2013;RJ;SR/PF/RJ;NITEROI;Não identificado;Art. 12 Posse irregular de arma de fogo de uso permitido
Pistola;2;41275;jan;2013;MT;DPF/CAE/MT;JAURU;Não identificado;Art. 14 Porte ilegal de arma de fogo de uso permitido
Revólver;1;41282;jan;2013;DF;SR/PF/DF;BRASILIA;Brasil;Art. 14 Porte ilegal de arma de fogo de uso permitido
Metralhadora;1;41284;jan;2013;PR;DPF/FIG/PR;NI;Alemanha;Outra tipificação
Revólver;1;41285;jan;2013;PE;SR/PF/PE;NI;Brasil;Outra tipificação
Revólver;1;41285;jan;2013;PE;SR/PF/PE;NI;Brasil;Outra tipificação
Revólver;1;41285;jan;2013;PE;SR/PF/PE;NI;Brasil;Outra tipificação
Revólver;1;41285;jan;2013;PE;SR/PF/PE;NI;Brasil;Outra tipificação
Revólver;1;41285;jan;2013;PE;SR/PF/PE;NI;Brasil;Outra tipificação
Revólver;1;41285;jan;2013;PE;SR/PF/PE;NI;Brasil;Outra tipificação
Revólver;1;41285;jan;2013;PE;SR/PF/PE;NI;Brasil;Outra tipificação
Revólver;1;41286;jan;2013;MG;SR/PF/MG;CONFINS;Não identificado;Art. 14 Porte ilegal de arma de fogo de uso permitido
Espingarda;1;41288;jan;2013;AC;DPF/CZS/AC;NI;Brasil;Outra tipificação
Espingarda;1;41288;jan;2013;AC;DPF/CZS/AC;NI;Brasil;Outra tipificação
Espingarda;1;41288;jan;2013;AC;DPF/CZS/AC;NI;Não identificado;Outra tipificação
Espingarda;1;41288;jan;2013;AC;DPF/CZS/AC;NI;Não identificado;Outra tipificação
Arma não classificada;1;41289;jan;2013;AM;SR/PF/AM;NI;Não identificado;Outra tipificação
Pistola;1;41290;jan;2013;PR;DPF/CAC/PR;NI;Não identificado;Outra tipificação
Pistola;1;41290;jan;2013;PR;DPF/CAC/PR;NI;Israel;Outra tipificação
Pistola;1;41290;jan;2013;PR;DPF/CAC/PR;NI;Estados Unidos da América;Outra tipificação
Pistola;1;41290;jan;2013;SP;SR/PF/SP;NI;Não identificado;Outra tipificação
Rifle;1;41291;jan;2013;ES;DPF/SMT/ES;SOORETAMA;Não identificado;Art. 14 Porte ilegal de arma de fogo de uso permitido
Pistola;1;41292;jan;2013;MS;SR/PF/MS;CAMPO GRANDE;Não identificado;Art. 14 Porte ilegal de arma de fogo de uso permitido
Pistola;1;41292;jan;2013;MS;SR/PF/MS;CAMPO GRANDE;Não identificado;Art. 18 Tráfico internacional de arma de fogo
