cod;nome;período;valor
1076;BRA;1989;13480
1076;BRA;1990;16588
1076;BRA;1991;15759
1076;BRA;1992;14785
1076;BRA;1993;17002
1076;BRA;1994;18889
1076;BRA;1995;22306
1076;BRA;1996;22976
1076;BRA;1997;24445
1076;BRA;1998;25674
1076;BRA;1999;26902
1076;BRA;2000;30865
1076;BRA;2001;33401
1076;BRA;2002;34160
1076;BRA;2003;36115
1076;BRA;2004;34187
1076;BRA;2005;33419
1076;BRA;2006;34921
1076;BRA;2007;34147
1076;BRA;2008;35676
1076;BRA;2009;36624
1076;BRA;2010;36792
1076;BRA;2011;36737
1076;BRA;2012;40077
1076;BRA;2013;40369
1076;BRA;2014;42755
1076;BRA;2015;41817
1076;BRA;2016;44475
1076;BRA;2017;47510
1076;BRA;2018;41179
1076;BRA;2019;30206
